,datetime,content,title
13,2021-06-09 20:57:50,据中国基金报，尽管近期市场有所反弹，但新基金发行依旧是“冰火两重天”。6月以来，已有27只基金提前结募，已超过整个5月提前结募总数的八成。多位业内人士表示，基金行业强者恒强、二八分化的现象恐将愈演愈烈，而且新基金发行冰火两重天的现象可能在未来很长一段时间都会存在。,
14,2021-06-09 20:56:24,意大利10年期国债收益率跌至4月底以来的最低点，报0.807%，日内下跌6个基点。,
15,2021-06-09 20:56:07,英国消息人士：相信英国首相约翰逊将在G7集团峰会上就北爱尔兰问题提出英国的观点。,
16,2021-06-09 20:55:57,英国消息人士：预计双方有解决方案。,
17,2021-06-09 20:55:51,英国消息人士：没有人希望卷入贸易战，希望欧盟不要走上报复性行动之路。,
18,2021-06-09 20:55:44,英国消息人士：延长一些商品的宽限期是选择之一。,
19,2021-06-09 20:54:27,德国10年期国债收益率跌至4月底以来的最低水平，报-0.26%，日内下跌近4个基点。,
20,2021-06-09 20:54:13,英国流行病学家FERGUSON：我们认为新冠病毒Delta变种毒株比Alpha毒株传播能力强60%。,
21,2021-06-09 20:51:38,【金域医学：“猎鹰号”移动检测车进驻白云机场】广州市要求，6月8日起所有人员都需查验健康码“绿码”和48小时核酸检测阴性证明方可进入广州白云机场航站楼。记者获悉，为方便旅客解决因核酸检测证明不符而误机的问题，金域医学(603882)联合白云机场在一号航站楼12门对面增设金域医学现场核酸检测点，将集装箱“猎鹰号”移动检测车驶入白云机场，面向有出行需求的旅客提供24小时全天候新冠病毒检测服务，并承诺采样后4~8小时出具核酸检测报告。,
22,2021-06-09 20:50:35,  拜登：将在欧洲之行期间宣布全球疫苗接种计划。,
23,2021-06-09 20:50:27,欧盟委员会副主席谢夫乔维奇：必须坚持双方在议定书中达成的协议，因为这是最好的解决方案，我们不能重新谈判。,
24,2021-06-09 20:47:51,  【民航局与科技部签署《中国新一代智慧民航自主创新联合行动计划纲要》】昨日，中国民用航空局与科学技术部在京签署《中国新一代智慧民航自主创新联合行动计划纲要》。根据《纲要》，到2025年，民航局与科技部将围绕智慧民航建设，瞄准制约民航发展的关键短板，强化科技支撑引领，加大民航科研基础设施建设力度，落实民航安全、适航审定、空事系统、智慧机场、智慧空管、智慧航空器运行与运输服务、民航科技创新能力体系共七个方面的重点任务，实现一批关键核心技术装备自主可控，形成国际一流的民航科技创新能力，为建成保障有力、人民满意、竞争力强的民航强国提供强大科技支撑。,
25,2021-06-09 20:45:55,英镑兑美元GBP/USD日内转跌，现报1.4142。,
26,2021-06-09 20:45:44,欧盟委员会副主席谢夫乔维奇：英国对欧盟法律行动的反应并不令人满意。,
27,2021-06-09 20:40:42,【神舟十二号船箭组合体转运至发射区】据中国载人航天工程办公室消息，北京时间2021年6月9日，神舟十二号载人飞船与长征二号F遥十二运载火箭组合体已转运至发射区。目前，发射场设施设备状态良好，后续将按计划开展发射前的各项功能检查、联合测试等工作。（央视新闻）,
28,2021-06-09 20:40:36,欧盟委员会副主席谢夫乔维奇：对英国的交叉报复措施可能意味着配额和关税。,
29,2021-06-09 20:39:38,  博睿数据澄清：截至目前，公司BonreeSDK产品未取得与鸿蒙操作系统相关的订单，也未在鸿蒙操作系统上确认相关收入。,
30,2021-06-09 20:37:38,欧盟委员会副主席谢夫乔维奇：不希望采取报复行动。,
31,2021-06-09 20:37:32,欧盟委员会副主席谢夫乔维奇：欧盟对英国的耐心正在耗尽。,
32,2021-06-09 20:37:27,欧盟委员会副主席谢夫乔维奇：我们对英国表现出极大的耐心。,
33,2021-06-09 20:37:08,  【常铝股份：拟参与设立产业引导基金 对全资子公司增资】常铝股份公告，公司拟与包头市重点产业发展投资基金(有限合伙)、内蒙古恒久通资产管理有限公司签署《包头市重点产业基金稀土高新区叁号子基金(有限合伙)合伙协议》，联合设立产业引导基金，基金规模为2.1亿元。本次投资产业引导基金投资目标唯一，为定向对公司全资子公司包头北方铝业有限公司增资，无其他投资目的。,
34,2021-06-09 20:35:40,利比亚WAHA公司石油产量在管道修复后逐步上升。,
35,2021-06-09 20:34:59,国际航空运输协会：4月份的国际旅客需求比2019年4月下降了87.3%，与3月录得的87.8%几乎没有变化。,
36,2021-06-09 20:33:53,  中烟香港：预计上半年公司收入增幅不低于85%，净利润增幅不低于115%。,
37,2021-06-09 20:33:00,欧盟委员会副主席谢夫乔维奇：专家们将在8月前开会讨论渔业问题。,
38,2021-06-09 20:32:32,欧盟委员会副主席谢夫乔维奇：全面实施脱欧协议是建立信任的条件。,
39,2021-06-09 20:32:01,欧盟委员会副主席谢夫乔维奇：如果英国继续采取单边行动，欧盟将采取报复行动。,
40,2021-06-09 20:31:42,美国总统拜登：欧洲之行是为了加强与盟友的关系。,
41,2021-06-09 20:31:03,欧盟委员会副主席谢夫乔维奇：我们正处在欧盟和英国关系的十字路口。,
42,2021-06-09 20:30:25,市场消息：美国总统拜登将在欧洲之行期间宣布全球疫苗接种战略。,
43,2021-06-09 20:29:13,欧盟委员会副主席谢夫乔维奇：我们不能取消协议的核心。,
44,2021-06-09 20:29:03,美国总统拜登：将向俄罗斯总统普京表明，美国和欧盟会团结一致。,
45,2021-06-09 20:28:58,欧盟委员会副主席谢夫乔维奇：我从英国“脱欧”谈判首席代表弗罗斯特那里得到保证，所有悬而未决的问题都会很快得到解决。,
46,2021-06-09 20:28:51,欧盟委员会副主席谢夫乔维奇：北爱尔兰协议必须得到执行。,
47,2021-06-09 20:28:41,欧盟委员会副主席谢夫乔维奇：如果欧盟公民受到英国脱欧协议的保护，他们必须有法律确定性。,
48,2021-06-09 20:25:51,【中兴通讯5G RAN方案成功获得CC EAL3+认证】近日，中兴通讯5G RAN方案成功通过信息技术安全评估通用标准(CC) EAL3+认证，成为业内首家以5G RAN系列产品整套系统作为保护轮廓通过CC EAL3+认证的供应商。,
49,2021-06-09 20:25:39,现货黄金短线走高逾4美元，现报1893.2美元/盎司。,
50,2021-06-09 20:22:32,【俄外长：俄美双方就美国两公司遭黑客攻击的事件达成一致】当地时间6月9日，俄罗斯外长拉夫罗夫表示，俄罗斯与美国就世界肉类加工企业巨头JBS的美国分部和科洛尼尔输油管道公司遭黑客网络攻击一事已经达成共识，这将有助于两国在该领域展开对话。,
51,2021-06-09 20:16:09,  【*ST众泰：金华中院裁定受理浙江永康农商行对公司的重整申请】*ST众泰公告，公司收到金华市中级人民法院(“金华中院”)送达的（2020）浙07破申7号《民事裁定书》，金华中院裁定受理浙江永康农村商业银行股份有限公司(“浙江永康农商行”或“申请人”)对公司的重整申请。因金华中院依法受理公司重整，触及相关规定，公司股票将于2021年6月10日被叠加实施退市风险警示特别处理，股票简称仍为“*ST众泰”，股票代码仍为“000980”，股票交易的日涨跌幅限制仍为5%。,
52,2021-06-09 20:13:18,德国财长肖尔茨：预计通货膨胀只是暂时的问题。,
53,2021-06-09 20:13:03,挪威卫生部长：挪威将允许私人从6月15日开始订购杨森新冠疫苗。,
54,2021-06-09 20:12:05,越南隔离区域新增57例新冠肺炎确诊病例。,
55,2021-06-09 20:11:00,  【山西路桥：资产重组事项获无条件通过 明起复牌】山西路桥公告，中国证券监督管理委员会上市公司并购重组审核委员会(“并购重组委”)召开2021年第11次并购重组委工作会议，对公司发行股份购买资产并募集配套资金事项进行了审核。根据会议审核结果，公司此次发行股份购买资产并募集配套资金事项获得无条件通过。经向深圳证券交易所申请，公司股票将自2021年6月10日开市起复牌。,
56,2021-06-09 20:10:35,市场消息：全球航空联盟呼吁制定通用的旅行标准。,
57,2021-06-09 20:09:59,【体操中心发文号召开展大众蹦床行业安全自查自纠】根据《体育总局体操中心关于开展全国大众蹦床行业安全自查自纠工作的通知》，为进一步落实大众蹦床行业安全生产工作，防范安全责任事故，体育总局体操中心号召各蹦床公园、蹦床俱乐部、蹦床器材生产和设计企业、各级蹦床协会等单位，按照要求自查自纠。（新华网）,
58,2021-06-09 20:03:46,【吉利汽车：吉利星瑞5月销量10056辆】吉利汽车：吉利星瑞5月销量10056辆，上市7个月累计销量75332辆。,
59,2021-06-09 20:03:03,芝商所（CME）将推出微型国债收益率期货。,
60,2021-06-09 20:02:33,瑞典新冠肺炎累计死亡病例增至14562例。,
61,2021-06-09 20:02:28,英国政府：英国敦促欧盟保护英国公民的权利。,
62,2021-06-09 20:02:05,瑞典新冠肺炎累计确诊病例增至1081898例。,
63,2021-06-09 20:01:37,波罗的海干散货指数涨2.52%，报2481点。,
64,2021-06-09 20:01:30,英国政府：英国将继续与欧盟积极合作，寻找解决方案。,
65,2021-06-09 20:01:20,上海黄金交易所黄金T+D 6月9日（周三）晚盘盘初上涨0.13%报386.37元/克；上海黄金交易所白银T+D 6月9日（周三）晚盘盘初下跌0.05%报5590.0元/千克。,
66,2021-06-09 20:00:12,  【圣农发展：5月实现销售收入12.52亿元 同比增长7.57%】圣农发展公告，5月实现销售收入12.52亿元，较去年同期增长7.57%，较上月环比增长4.05%。其中，家禽饲养加工板块鸡肉销售收入为9.73亿元，较去年同期增长6.60%。,
67,2021-06-09 20:00:04,英国政府：在联合委员会会谈后，许多领域尚未取得实质性进展，对此表示担忧。,
68,2021-06-09 19:59:36,英国政府：迫切需要进行进一步的讨论，以取得真正的进展，特别是避免药品等关键供应的中断。,
69,2021-06-09 19:59:05,英国政府：如果无法在与欧盟谈判中找到解决方案，政府当然会继续考虑所有可能的选择，以维护北爱尔兰的和平、繁荣和稳定。,
70,2021-06-09 19:58:41,【2021世界半导体大会今日开幕 中国已成为全球增速最快的集成电路市场】以“创新求变，同‘芯’共赢”为主题的2021世界半导体大会今天在南京开幕。工业和信息化部负责人在会上透露，我国已成为全球增速最快的集成电路市场。2020年我国集成电路产业规模达到8848亿元，“十三五”期间年均增速近20%，为全球同期增速的4倍。同时，我国集成电路产业在技术创新与市场化上取得了显著突破，设计工具、制造工艺、封装技术、核心设备、关键材料等方面都有显著提升。（央视新闻）,
71,2021-06-09 19:58:16,【6月9日《新闻联播》主要内容】今天《新闻联播》主要内容有：1、习近平在青海考察时强调 坚持以人民为中心深化改革开放 深入推进青藏高原生态保护和高质量发展；2、央视快评：牢记“国之大者”，在推进青藏高原生态保护和高质量发展上取得新成就；3、李克强主持召开国务院常务会议；4、栗战书与全国人大常委会会议列席代表座谈；5、十三届全国人大常委会第二十九次会议举行联组会议；6、十三届全国人大常委会举行第九十五次委员长会议；7、陕西：弘扬延安精神 奋力谱写新时代追赶超越新篇章；8、【奋斗百年路 启航新征程——学党史 悟思想 办实事 开新局】深学实做 推动财政工作高质量发展；9、5月份居民消费价格总体稳定；10、“2021·中欧人权研讨会”举行；11、“国际青年中国行”活动走进四川；12、我国新冠疫苗接种超8亿剂次；13、国家卫生健康委通报最新疫情；14、世行上调2021年中国经济增长预期至8.5%；14、全球新冠肺炎确诊病例超1亿7333万。,
72,2021-06-09 19:56:06,【科技部火炬中心联合多家高新区发起《国家高新区“碳达峰碳中和”行动宣言》】8日，2021全球硬科技创新大会在西安拉开帷幕。在“国家高新区‘碳达峰碳中和’技术革命与产业变革高峰会议”分论坛上，科技部火炬中心联合多个国家高新区发起《国家高新区“碳达峰碳中和”行动宣言》，表示将加快支持前沿性、颠覆性绿色低碳技术研发，为我国“力争2030年前实现碳达峰，2060年前实现碳中和”这一目标贡献力量。（新华社）,
73,2021-06-09 19:54:20,【隆基股份：专注氢能设备 今年产能目标500MW】隆基股份下属合资公司隆基氢能科技有限公司副总经理王英歌在FCVC2021大会上称降成本是隆基做氢能初衷之一，公司没有做全产业链的布局，而是专注做氢能设备，未来公司会将产品标准化量产，“比如今年要有500MW的产能，明年有1.5GW的产能。”,
74,2021-06-09 19:53:48,【富时罗素在美国行政令更新后将重新把部分证券纳入指数】据外媒报道，富时罗素将在富时全球股票指数系列和富时全球含A股指数系列中重新纳入一些股票，这些股票此前因为美国前总统特朗普的行政命令而被剔除。富时罗素评估新的行政命令，一些股票已不包含在新的行政命令里，这些股票包括中国联通、中国中车和中科曙光。变更将在6月21日生效。,
75,2021-06-09 19:53:22,比特币上破35000美元/枚，日内涨近5%。,
76,2021-06-09 19:52:35,  【中美货币政策不同步未来可能施压人民币汇率】今日人民币对美元汇率收于6.3899元。英国央行首席经济学家鹰派表态打压美元指数到90整数关口，利好人民币。比较而言，美国经济复苏较英国更为强劲，下一步舆论焦点很可能转向美国货币政策收紧。今日公布的5月CPI同比上涨1.3%，低于预期，对央行收紧货币政策的预期下降。从本外利差走势看不利于人民币。同时PPI同比上涨9%，为2009年以来的最高点，反映出大宗商品价格涨幅较大，增加进口付汇，减少贸易顺差。相关信息的影响可能仍将持续。,
77,2021-06-09 19:49:17,【西部超导：西安工业投资拟询价转让公司2%股份】西部超导(688122)6月9日晚间公告，股东西安工业投资集团有限公司拟参与询价转让，拟转让股份总数为882.54万股，占公司总股本的比例为2.00%，本次询价转让价格下限为51元/股。,
78,2021-06-09 19:44:31,【格力电器：将于6月30日召开2020年年度股东大会】格力电器(000651)6月9日晚间公告，公司将于6月30日（星期三）下午15:00召开2020年年度股东大会，拟出席现场会议的股东及股东代理人须在6月28日17:00前与公司联系。为严防新型冠状病毒肺炎疫情扩散，保障参会人员安全，公司鼓励各位股东通过网络投票方式参与本次股东大会。,
79,2021-06-09 19:42:24,【康跃科技：康跃投资拟减持公司不超6%股份】康跃科技(300391)6月9日晚间公告，持股比例为9.71%的股东康跃投资计划六个月内以集中竞价、大宗交易方式，减持公司股份合计不超过2102.02万股（占公司总股本比例6%）。,
80,2021-06-09 19:38:58,【南方、汇添富、天弘等多家公募宣布全面实现支持鸿蒙系统】南方、汇添富、天弘等多家大型基金公司在近两日陆续官宣，公司旗下APP即日起全面支持华为鸿蒙系统。早在6月2日华为正式发布鸿蒙Harmony OS 2.0系统后，上述基金公司便已立即组织开展对接鸿蒙系统的兼容性测试，在行业内率先满足升级鸿蒙系统客户的使用需求。,
81,2021-06-09 19:38:17,【IDC：2024年中国视频会议市场规模将超100亿】IDC最新发布的《2020年IDC中国视频会议与协作市场跟踪报告》显示，2020全年，中国视频会议市场规模达约合65.2亿元人民币，市场规模较同比上涨18.9%。其中，硬件视频会议市场同比增长15.3%，达约合47.4亿元人民币；云会议市场同比增长29.4%，达约合18.0亿元人民币。此外，IDC预测，中国视频会议市场规模在2024年将超过100亿元，云会议市场占比将近40%。（TechWeb）,
82,2021-06-09 19:36:48,  【ST宜化：6月11日起撤销其他风险警示 明日停牌一天】ST宜化公告，公司股票交易于2021年6月10日开市起停牌一天，并于2021年6月11日开市起复牌，撤销其他风险警示，股票简称由“ST宜化”变更为“湖北宜化”，股票代码不变，股票交易日涨跌幅限制由5%变更为10%。,
83,2021-06-09 19:32:59,  康跃科技：持股9.71%的股东寿光市康跃投资有限公司拟减持不超过6%。,
84,2021-06-09 19:32:34,印度政府报告：印度的零售通胀仍容易受到国际大宗商品价格高企的压力。,
85,2021-06-09 19:32:05,  联诚精密：拟定增募资不超过4.84亿元，用于精密液压零部件智能制造项目和补充营运资金及偿还贷款。,
86,2021-06-09 19:30:28,【*ST北讯：6月10日起进入退市整理期交易】*ST北讯(002359)6月9日晚间公告，公司股票将于6月10日起进入退市整理期交易，证券简称为北讯退，涨跌幅限制10%。预计最后交易日期为7月22日。,
87,2021-06-09 19:30:04,【17个项目落户中国-中东欧国际产业合作园，总投资78.3亿元】作为第二届中国-中东欧国家博览会暨国际消费品博览会的经贸活动之一，中国-中东欧国家产业合作对接会9日在浙江宁波余姚市举行。该活动旨在进一步加深宁波与中东欧国家的相互了解，增进产业合作。对接会上，匈牙利量子水泥项目、匈牙利社区医院项目、爱沙尼亚边缘计算通信智慧路灯项目等17个项目签约落户中国-中东欧国际产业合作园，总投资78.3亿元。（新华社）,
88,2021-06-09 19:29:32,  中来股份：拟定增募资不超过25亿元，用于年产16GW高效单晶电池智能工厂项目（一期）和补充流动资金。,
89,2021-06-09 19:29:25,英国10年期国债收益率跌至5月7日以来的最低水平，报0.744%，日内下跌3个基点。,
90,2021-06-09 19:29:15,欧盟委员会副主席维斯塔格：有关物联网的报告可能带来新的反垄断案件。,
91,2021-06-09 19:28:24,德国外长马斯：德国和美国本周将进一步就北溪2号天然气管道问题举行会谈。,
92,2021-06-09 19:28:05,【新晨科技：鸿蒙相关业务收入在公司营业收入中占比很小】6月9日晚间，新晨科技(300542)披露股票交易异常波动公告：区块链业务为公司创新型业务，公司区块链相关业务收入在公司营业收入中占比较小；公司在某客户手机客户端项目中，参与了鸿蒙系统的适配工作，但目前相关业务收入在公司营业收入中占比很小。,
93,2021-06-09 19:27:41,现货白银短线上扬0.12美元，现报27.64美元/盎司。,
94,2021-06-09 19:27:26,现货黄金短线走高4美元，现报1892美元/盎司。,
95,2021-06-09 19:26:46,市场消息：语音助手被欧盟报告列入反垄断问题。,
96,2021-06-09 19:26:40,英国“脱欧”谈判首席代表弗罗斯特：欧盟法律不能在整个英国适用。,
97,2021-06-09 19:26:35,英国“脱欧”谈判首席代表弗罗斯特：北爱尔兰局势“敏感”。,
98,2021-06-09 19:26:28,英国首相约翰逊：（谈及北爱尔兰问题）要确保保护英国的领土和经济完整。,
99,2021-06-09 19:26:12,【消息人士：浙商银行原副行长张荣森将升任行长】记者今日获悉，浙商银行高管架构已经初定。该行原“一正六副”的经营架构或将优化调整为“一正五副”，原副行长张荣森升任行长，副行长刘龙、吴建伟、陈海强保持稳定，一批高学历年轻骨干人才将进入该行经营层。其中，行长助理兼金融市场部总经理骆峰、首席财务官景峰兼计划财务部总经理有望补位空缺，升任副行长。（财联社）,
100,2021-06-09 19:25:41,【东方雨虹：30亿元投建绿色新型建材研发生产基地】东方雨虹(002271)6月9日晚间公告，公司拟投资30亿元在镇江经开区投资建设东方雨虹绿色新型建材研发生产基地项目，推进包括但不限于新型建筑防水材料、新型墙体材料、新型功能涂层材料、特种砂浆等产品的研发生产项目。项目自土地交地之日起24个月内全面建成。,
101,2021-06-09 19:24:46,英国“脱欧”谈判首席代表弗罗斯特：欧盟坚持“纯粹”的协议实施。,
102,2021-06-09 19:24:33,英国“脱欧”谈判首席代表弗罗斯特：欧盟的谈判没有突破，也没有破裂。,
103,2021-06-09 19:24:28,美国10年期国债收益率跌破1.5%，为5月7日以来首次。,
104,2021-06-09 19:23:12,  华东电脑：公司证券简称自2021年6月16日起由“华东电脑”变更为“电科数字”，公司证券代码保持不变。,
105,2021-06-09 19:22:58,  李克强主持召开国务院常务会议，确定深化公立医院薪酬制度改革的措施，更好调动医务人员积极性更优服务人民群众。,
106,2021-06-09 19:20:40,  李克强主持召开国务院常务会议，部署推进实施“十四五”规划《纲要》确定的重大工程项目。,
107,2021-06-09 19:20:31,市场消息：俄罗斯总统普京下令启动俄罗斯天然气公司Amur天然气处理厂的建设。,
108,2021-06-09 19:16:29,俄罗斯天然气工业股份公司计划不久在俄罗斯远东地区建立氦中心。,
109,2021-06-09 19:16:19,市场消息：欧盟新冠肺炎护照更可能只适用于短途旅行。,
110,2021-06-09 19:16:10,  【普利制药：特利加压素注射液在德获批上市】普利制药公告，公司于近日收到了德国联邦药物和医疗器械管理局签发的特利加压素注射液的上市许可。特利加压素化学名为三甘氨酰赖氨酸加压素，是一种人工合成的长效血管加压素。,
111,2021-06-09 19:11:03,大商所发布关于《大连商品交易所棕榈油期货期权合约》及相关实施细则修正案的公告。,
112,2021-06-09 19:10:56,【英国9月起将禁售卤素灯泡】据英国媒体当地时间6月9日报道，英国政府本月将提交法案，决定从9月开始全面禁止销售卤素灯泡。英国政府称，停止使用卤素灯泡，将每年让英国减少126万吨的碳排放。（央视新闻）,
113,2021-06-09 19:06:40,德国经济部长阿尔特迈尔：我们预计今年经济增长良好。,
114,2021-06-09 19:04:52,  广州发展：拟定增募资不超过60亿元，用于城市燃气、综合能源服务、新能源项目和偿还银行贷款。,
115,2021-06-09 19:02:57,  【四部门联合整治违规限高限宽设施和检查卡点】为了促进货运行业健康稳定发展，交通运输部等四部门将深入开展坚决整治违规设置妨碍货车通行的道路限高限宽设施和检查卡点工作；坚决拆除未依法设置公示牌或设置主体不明确的限高限宽设施；各地公安部门要按照有关要求，进一步优化城市配送车辆通行管理，最大限度便捷货车通行。,
116,2021-06-09 18:59:27,【中诚信国际将恒大地产主体及相关债项信用等级列入信用评级观察名单】中诚信国际决定维持恒大地产集团有限公司主体信用等级为AAA，维持“15恒大03”、“19恒大01”、“19恒大02”、“20恒大01”、“20恒大02”、“20恒大03”、“20恒大04”、“20恒大05”和“21恒大01”债项信用等级为AAA，将恒大地产集团有限公司主体及上述债项信用等级列入信用评级观察名单。中诚信国际将持续关注恒大集团及恒大地产降负债战略的实施进度与效果以及此次极少量商票未及时兑付的情况可能对公司经营及偿债造成的负面影响等问题，并及时评估上述事项对公司信用状况的影响。,
117,2021-06-09 18:58:20,意大利10年期国债收益率下跌5个基点至0.81％。,
118,2021-06-09 18:55:23,  龙湖集团5月单月实现合同销售金额人民币295亿元，合同销售面积174.4万平方米。,
119,2021-06-09 18:55:10,【商务部：预计全年外贸增速将呈现“前高后低”走势】商务部综合司和国际贸易经济合作研究院联合发布的《中国对外贸易形势报告（2021年春季）》指出，预计全年外贸增速将呈现“前高后低”走势，不能盲目乐观。（中证网）,
120,2021-06-09 18:54:19,【ChinaJoy下月在沪举办，外资参展企业超100家】第十九届中国国际数码互动娱乐展览会（ChinaJoy）将于2021年7月30日至8月2日，在上海新国际博览中心举办。今年ChinaJoy展会的主题是“科技创梦 乐赢未来”。BTOC展商共计300余家，展馆面积达12万平米；BTOB展商共计200余家，展馆面积达1.5万平米。其中，外资参展企业超过100家，约占30%；在国内方面，三大电信运营商、腾讯游戏、网易游戏、盛趣游戏、bilibili、巨人网络、IGG、西山居等均参加。（一财）,
121,2021-06-09 18:52:53,  证监会公告，山西路桥股份有限公司发行股份购买资产获无条件通过。,
122,2021-06-09 18:51:59,【华邦健康：与新安股份等在农化、转基因领域达成合作】华邦健康(002004)6月9日晚间公告，公司与新安股份、颖泰生物签订了《战略合作协议》，致力于以颖泰生物作为合作平台，在农化、转基因领域的产品布局、产业链拓展、市场及渠道协同等方面建立全面、深入的战略合作伙伴关系。公司未来以择机向新安股份转让颖泰生物股权、同意新安股份参与颖泰生物增资扩股等方式，支持其成为颖泰生物重要股东。,
123,2021-06-09 18:51:05,苏黎世大学流行病学家、世卫组织顾问罗伯特·史蒂芬（Robert Steffen）表示，接种过一剂mRNA新冠疫苗的人可在长时间内得到保护，大概保护期为几年。（卫星新闻）,
124,2021-06-09 18:48:27,美国政府将在molnupirvir药物获得紧急使用授权后，购买170万个疗程的药物。,
125,2021-06-09 18:46:45,默沙东宣布与美国政府就molnupiravir药物达成供应协议，molnupiravir是一种用于治疗轻至中度新冠肺炎的实验性口服抗病毒候选药物。,
126,2021-06-09 18:46:12,【国家严查利用无线电设备考试作弊】国家无线电管理机构指出，针对利用无线电设备考试作弊的特点，做好考点周边电磁环境监测，对疑似高考作弊信号立即排查定位，如确认为考试作弊信号，一律立即阻断，并会同公安机关、招生考试机构依法查处，确保高考公平公正。,
127,2021-06-09 18:44:03,【嘉泽新能：拟与中车基金等共同设立风能开发产业基金】嘉泽新能(601619)6月9日晚间公告，为寻求符合公司战略发展方向的投资机会以及为公司储备和培育优质项目资源，公司拟与中车基金、开弦资本、中车资本、山东电建，共同投资设立私募投资基金风能开发产业基金(宁夏)。风能开发产业基金(宁夏)目标认缴金额为16亿元。其中嘉泽新能认缴出资4.84亿元。,
128,2021-06-09 18:43:49,【四部门：到2023年汽车可回收利用率达到95%】工信部、科技部、财政部、商务部近日印发《汽车产品生产者责任延伸试点实施方案》。方案提出，到2023年，报废汽车规范回收水平显著提升，形成一批可复制、可推广的汽车生产企业为责任主体的报废汽车回收利用模式；报废汽车再生资源利用水平稳步提升，资源综合利用率达到75%；汽车绿色供应链体系构建完备，汽车可回收利用率达到95%，重点部件的再生原料利用比例不低于5%。,
129,2021-06-09 18:42:15,马来西亚新增新冠肺炎确诊病例6239例，累计确诊633891例。,
